product_id,product_name,product_category,manufacturing_city,size,color,sku,brand,material,base_cost,list_price,inventory_on_hand,rating,launch_date
93810,Classic White Tee,Apparel,Dhaka,M,White,CWT-M-WHT,Basics Co,Cotton,4.5,19.99,340,4.3,2021-03-15
24592,Slim Fit Jeans,Apparel,Ho Chi Minh,32,Indigo,SFJ-32-IND,DenimWorks,Denim,12.0,59.99,210,4.1,
13278,running sneakers,Footwear,Guangzhou,10,Black,RS-10-BLK,SpeedStep,Mesh,18.0,89.99,175,4.6,2021-11-01
46048,Yoga Leggings,Apparel,Jakarta,S,NULL,YL-S-NVY,FlexFit,Spandex,8.0,44.99,290,4.5,2022-01-10
42098,Leather Handbag,Accessories,Milan,OS,Tan,LHB-OS-TAN,LuxCarry,Leather,35.0,149.99,80,4.2,2020-05-30
39256,Wireless Earbuds,Electronics,Shenzhen,OS,White,WEB-OS-WHT,SOUNDPODS,Plastic,22.0,79.99,430,4.4,2021-09-14
28289,Stainless Water Bottle,Home & Kitchen,Ningbo,OS,Silver,SWB-OS-SIL,HydroLife,Steel,6.0,29.99,520,4.7,2021-02-28
23434,Non-stick Frying Pan,Home & Kitchen,Hangzhou,10in,Black,NFP-10-BLK,CookRight,Aluminum,-9.0,34.99,190,4.0,2020-10-05
98696,Scented Candle Set,Home & Decor,Portland,OS,Ivory,SCS-OS-IVR,WickWell,Soy Wax,5.0,24.99,360,4.6,2022-03-01
81482,Vitamin C Serum,Beauty,NAN,OS,N/A,VCS-OS-NA,GlowLab,Glass,7.0,39.99,270,4.8,2021-06-18
21395,Foam Yoga Mat,Sports,Taipei,OS,Purple,FYM-OS-PUR,ZenGear,EVA Foam,10.0,49.99,155,4.3,2022-05-20
87397,Backpack 30L,accessories,Guangzhou,OS,Olive,BP30-OS-OLV,TrailPack,Nylon,14.0,69.99,130,4.5,2020-12-11
65302,Smart Watch,Electronics,Shenzhen,OS,Space Gray,,TechWrist,Aluminum,40.0,199.99,95,4.2,2022-09-05
14165,Ceramic Coffee Mug,Home & Kitchen,Nashville,OS,Cream,CCM-OS-CRM,BrewMate,Ceramic,3.0,14.99,600,4.1,2021-01-07
13905,Resistance Bands Set,Sports,Yiwu,OS,Mixed,RBS-OS-MIX,BandFlex,LATEX,4.0,22.99,310,4.4,2021-08-30
22280,Hardcover Notebook,Stationery,Chennai,A5,Forest Green,HNB-A5-FGR,PageCraft,Recycled Paper,2.5,12.99,480,4.6,2020-04-15
38657,Sunscreen SPF 50,Beauty,Tokyo,OS,N/A,SS50-OS-NA,ShieldSkin,Plastic,5.5,26.99,220,N/A,2022-02-14
40495,Men's Hoodie,Apparel,Bangladesh,L,Charcoal,MH-L-CHR,StreetBasics,Fleece,11.0,54.99,-5,4.0,2021-04-22
76237,Desk Lamp LED,Electronics,Foshan,OS,White,DL-OS-WHT,BrightDesk,ABS Plastic,8.0,39.99,140,4.5,2022-07-19
88907,Protein Powder 2lb,Health,Austin,OS,N/A,PP2-OS-NA,GainFuel,Composite,15.0,54.99,200,4.2,2021-10-08
42098,Leather Handbag,Accessories,Milan,OS,Tan,LHB-OS-TAN,LuxCarry,Leather,35.0,149.99,80,4.2,2020-05-30
